Date;Time;Severity;TID;This;Function;Message
2019/04/22;16:05:24.711;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:28.800;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:32.889;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:36.978;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:41.067;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:45.156;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:49.246;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:53.335;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:05:57.424;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:01.513;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:05.602;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:09.691;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:13.780;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:17.869;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:21.958;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:26.047;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:30.136;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:34.225;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:38.314;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:42.403;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:46.492;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:50.581;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:54.671;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:06:58.760;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:02.849;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:06.938;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:11.027;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:15.116;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:19.205;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:23.294;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:27.383;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:31.472;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:35.561;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:39.650;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;16:07:43.739;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
